id; age; workClass; education; martialStatus; occupation; race; nativeCountry; salary
14611;0-120;State-gov;*;Married-civ-spouse;*;Black;Male;North America;<=50K
7404;0-120;Self-emp-inc;HS-grad;*;*;Black;Male;United-States;>50K
7657;0-120;Self-emp-inc;HS-grad;*;*;Black;Male;United-States;>50K
3578;0-120;Self-emp-inc;Higher education;Married-civ-spouse;*;Black;Male;United-States;>50K
4441;0-120;Self-emp-inc;Higher education;Married-civ-spouse;*;Black;Male;United-States;>50K
5408;0-120;Self-emp-not-inc;*;Married-civ-spouse;*;Black;Male;United-States;>50K
7033;0-120;Self-emp-not-inc;*;Married-civ-spouse;*;Black;Male;United-States;>50K
11321;0-120;Self-emp-not-inc;*;Married-civ-spouse;*;Black;Male;United-States;<=50K
11683;0-120;Self-emp-not-inc;*;Married-civ-spouse;*;Black;Male;United-States;<=50K
157;0-120;Self-emp-not-inc;*;spouse not present;*;Black;Male;United-States;<=50K
15684;0-120;Self-emp-not-inc;*;spouse not present;*;Black;Male;United-States;<=50K
5966;0-120;Self-emp-not-inc;*;Divorced;*;Black;Male;United-States;<=50K
12967;0-120;Self-emp-not-inc;*;Divorced;*;Black;Male;United-States;<=50K
18448;0-120;Private;High School;spouse not present;*;Black;Male;United-States;>50K
24321;0-120;Private;High School;spouse not present;*;Black;Male;United-States;>50K
3889;0-120;Private;Assoc-voc;Married-civ-spouse;*;Black;Male;North America;>50K
5058;0-120;Private;Assoc-voc;Married-civ-spouse;*;Black;Male;North America;>50K
206;31-40;Private;Bachelors;Married-civ-spouse;*;Black;Male;*;>50K
1417;31-40;Private;Bachelors;Married-civ-spouse;*;Black;Male;*;>50K
1293;41-50;Private;*;Married-civ-spouse;*;Black;Male;North America;<=50K
14893;41-50;Private;*;Married-civ-spouse;*;Black;Male;North America;<=50K
7214;0-120;State-gov;Higher education;Divorced;*;White;Male;North America;>50K
10616;0-120;State-gov;Higher education;Divorced;*;White;Male;North America;>50K
2783;0-120;Federal-gov;*;Divorced;*;White;Male;United-States;>50K
9871;0-120;Federal-gov;*;Divorced;*;White;Male;United-States;>50K
3213;0-120;Federal-gov;*;spouse not present;*;White;Male;United-States;<=50K
7869;0-120;Federal-gov;*;spouse not present;*;White;Male;United-States;<=50K
14174;0-120;Federal-gov;Professional Education;Never-married;*;White;Male;*;<=50K
21076;0-120;Federal-gov;Professional Education;Never-married;*;White;Male;*;<=50K
9894;0-120;Local-gov;*;Divorced;*;White;Male;United-States;>50K
12212;0-120;Local-gov;*;Divorced;*;White;Male;United-States;>50K
4807;0-120;Local-gov;High School;Divorced;*;White;Male;North America;>50K
18662;0-120;Local-gov;High School;Divorced;*;White;Male;North America;>50K
6524;0-120;Self-emp-inc;*;Divorced;*;White;Male;North America;>50K
6621;0-120;Self-emp-inc;*;Divorced;*;White;Male;North America;>50K
3204;0-120;Self-emp-inc;*;Widowed;Nontechnical;White;Male;United-States;>50K
17027;0-120;Self-emp-inc;*;Widowed;Nontechnical;White;Male;United-States;>50K
13901;0-120;Self-emp-inc;*;Married-civ-spouse;*;White;Male;*;<=50K
21292;0-120;Self-emp-inc;*;Married-civ-spouse;*;White;Male;*;<=50K
566;41-50;Self-emp-inc;*;Married-civ-spouse;*;White;Male;North America;<=50K
638;41-50;Self-emp-inc;*;Married-civ-spouse;*;White;Male;North America;<=50K
3082;0-120;Self-emp-inc;*;spouse not present;*;White;Male;United-States;<=50K
6161;0-120;Self-emp-inc;*;spouse not present;*;White;Male;United-States;<=50K
54;41-50;Self-emp-inc;HS-grad;Divorced;*;White;Male;*;<=50K
5884;41-50;Self-emp-inc;HS-grad;Divorced;*;White;Male;*;<=50K
5668;0-120;Private;Doctorate;Never-married;*;White;Male;*;>50K
8809;0-120;Private;Doctorate;Never-married;*;White;Male;*;>50K
3763;0-120;Private;Assoc-voc;Never-married;*;White;Male;*;>50K
6535;0-120;Private;Assoc-voc;Never-married;*;White;Male;*;>50K
234;0-120;Private;Prof-school;Never-married;*;White;Male;*;>50K
2840;0-120;Private;Prof-school;Never-married;*;White;Male;*;>50K
3034;26-30;Private;*;Married-AF-spouse;*;White;Male;United-States;<=50K
3787;26-30;Private;*;Married-AF-spouse;*;White;Male;United-States;<=50K
2584;0-120;Private;Primary School;Divorced;*;White;Male;*;<=50K
3045;0-120;Private;Primary School;Divorced;*;White;Male;*;<=50K
1091;0-120;Self-emp-not-inc;Undergraduate;Never-married;*;White;Male;United-States;>50K
6035;0-120;Self-emp-not-inc;Undergraduate;Never-married;*;White;Male;United-States;>50K
5397;21-30;Self-emp-not-inc;Undergraduate;Never-married;*;White;Male;United-States;>50K
13073;21-30;Self-emp-not-inc;Undergraduate;Never-married;*;White;Male;United-States;>50K
8240;0-120;Self-emp-not-inc;*;Widowed;*;White;Male;North America;<=50K
18619;0-120;Self-emp-not-inc;*;Widowed;*;White;Male;North America;<=50K
869;0-120;Self-emp-not-inc;Higher education;Separated;*;White;Male;*;<=50K
4626;0-120;Self-emp-not-inc;Higher education;Separated;*;White;Male;*;<=50K
378;41-50;Self-emp-not-inc;Masters;Divorced;*;White;Male;*;<=50K
2186;41-50;Self-emp-not-inc;Masters;Divorced;*;White;Male;*;<=50K
39;41-50;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;*;White;Male;*;<=50K
7540;41-50;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;*;White;Male;*;<=50K
2720;0-120;Local-gov;Undergraduate;spouse not present;*;Amer-Indian-Eskimo;Female;United-States;<=50K
3589;0-120;Local-gov;Undergraduate;spouse not present;*;Amer-Indian-Eskimo;Female;United-States;<=50K
2383;0-120;Non-Government;*;Married-spouse-absent;*;Amer-Indian-Eskimo;Female;United-States;<=50K
5481;0-120;Non-Government;*;Married-spouse-absent;*;Amer-Indian-Eskimo;Female;United-States;<=50K
940;0-120;Private;Professional Education;Divorced;*;Amer-Indian-Eskimo;Female;*;<=50K
13828;0-120;Private;Professional Education;Divorced;*;Amer-Indian-Eskimo;Female;*;<=50K
212;0-120;Private;Higher education;Never-married;*;Amer-Indian-Eskimo;Female;United-States;<=50K
516;0-120;Private;Higher education;Never-married;*;Amer-Indian-Eskimo;Female;United-States;<=50K
4598;0-120;State-gov;Masters;*;Prof-specialty;Asian-Pac-Islander;Female;*;*
8508;0-120;State-gov;Masters;*;Prof-specialty;Asian-Pac-Islander;Female;*;*
5435;0-120;Private;*;Married-spouse-absent;*;Asian-Pac-Islander;Female;*;<=50K
10374;0-120;Private;*;Married-spouse-absent;*;Asian-Pac-Islander;Female;*;<=50K
3993;0-120;Private;Higher education;Married-spouse-absent;*;Asian-Pac-Islander;Female;*;<=50K
7007;0-120;Private;Higher education;Married-spouse-absent;*;Asian-Pac-Islander;Female;*;<=50K
4583;31-40;Private;Higher education;Divorced;*;Asian-Pac-Islander;Female;*;<=50K
11279;31-40;Private;Higher education;Divorced;*;Asian-Pac-Islander;Female;*;<=50K
1793;0-120;Private;*;Never-married;*;Asian-Pac-Islander;Female;Asia;<=50K
13122;0-120;Private;*;Never-married;*;Asian-Pac-Islander;Female;Asia;<=50K
11253;0-120;Private;Professional Education;Never-married;*;Asian-Pac-Islander;Female;*;<=50K
14752;0-120;Private;Professional Education;Never-married;*;Asian-Pac-Islander;Female;*;<=50K
4803;0-120;Private;Assoc-acdm;Never-married;*;Asian-Pac-Islander;Female;*;<=50K
18636;0-120;Private;Assoc-acdm;Never-married;*;Asian-Pac-Islander;Female;*;<=50K
8947;0-120;Private;High School;spouse not present;*;Other;Female;*;<=50K
12426;0-120;Private;High School;spouse not present;*;Other;Female;*;<=50K
18124;0-120;Private;*;Separated;*;Other;Female;North America;<=50K
18757;0-120;Private;*;Separated;*;Other;Female;North America;<=50K
9984;0-120;Private;High School;Married-civ-spouse;*;Other;Female;North America;<=50K
17688;0-120;Private;High School;Married-civ-spouse;*;Other;Female;North America;<=50K
15567;0-120;State-gov;*;spouse not present;*;White;Female;United-States;>50K
18151;0-120;State-gov;*;spouse not present;*;White;Female;United-States;>50K
4939;0-120;State-gov;High School;spouse present;*;White;Female;United-States;<=50K
11481;0-120;State-gov;High School;spouse present;*;White;Female;United-States;<=50K
6920;0-120;State-gov;*;Married-spouse-absent;*;White;Female;*;<=50K
18220;0-120;State-gov;*;Married-spouse-absent;*;White;Female;*;<=50K
1785;0-120;Local-gov;*;spouse not present;*;White;Female;United-States;>50K
2227;0-120;Local-gov;*;spouse not present;*;White;Female;United-States;>50K
1407;0-120;Local-gov;Higher education;Married-civ-spouse;*;White;Female;*;>50K
18482;0-120;Local-gov;Higher education;Married-civ-spouse;*;White;Female;*;>50K
3543;0-120;Local-gov;Some-college;Married-civ-spouse;*;White;Female;*;>50K
4401;0-120;Local-gov;Some-college;Married-civ-spouse;*;White;Female;*;>50K
14615;0-120;Federal-gov;*;Widowed;*;White;Female;*;<=50K
22273;0-120;Federal-gov;*;Widowed;*;White;Female;*;<=50K
17254;0-120;Federal-gov;Higher education;Divorced;*;White;Female;United-States;>50K
20144;0-120;Federal-gov;Higher education;Divorced;*;White;Female;United-States;>50K
5279;0-120;Self-emp-inc;Undergraduate;Divorced;*;White;Female;*;<=50K
6385;0-120;Self-emp-inc;Undergraduate;Divorced;*;White;Female;*;<=50K
2733;41-50;Self-emp-inc;Higher education;Divorced;*;White;Female;North America;<=50K
9515;41-50;Self-emp-inc;Higher education;Divorced;*;White;Female;North America;<=50K
1098;0-120;Self-emp-inc;HS-grad;Married-civ-spouse;*;White;Female;*;>50K
1645;0-120;Self-emp-inc;HS-grad;Married-civ-spouse;*;White;Female;*;>50K
432;0-120;Self-emp-not-inc;*;Married-spouse-absent;*;White;Female;United-States;<=50K
1997;0-120;Self-emp-not-inc;*;Married-spouse-absent;*;White;Female;United-States;<=50K
3224;0-120;Self-emp-not-inc;Professional Education;Married-civ-spouse;*;White;Female;*;>50K
4704;0-120;Self-emp-not-inc;Professional Education;Married-civ-spouse;*;White;Female;*;>50K
454;41-50;Self-emp-not-inc;HS-grad;Married-civ-spouse;*;White;Female;*;>50K
1882;41-50;Self-emp-not-inc;HS-grad;Married-civ-spouse;*;White;Female;*;>50K
1826;0-120;Self-emp-not-inc;*;Never-married;Prof-specialty;White;Female;North America;>50K
8979;0-120;Self-emp-not-inc;*;Never-married;Prof-specialty;White;Female;North America;>50K
5936;0-120;Private;*;Married-spouse-absent;*;White;Female;United-States;>50K
22467;0-120;Private;*;Married-spouse-absent;*;White;Female;United-States;>50K
4906;0-120;Private;Undergraduate;Widowed;*;White;Female;*;>50K
10965;0-120;Private;Undergraduate;Widowed;*;White;Female;*;>50K
922;41-50;Private;Primary School;Married-civ-spouse;*;White;Female;*;<=50K
5441;41-50;Private;Primary School;Married-civ-spouse;*;White;Female;*;<=50K
1367;0-120;Federal-gov;Undergraduate;spouse not present;*;Black;Female;United-States;<=50K
15044;0-120;Federal-gov;Undergraduate;spouse not present;*;Black;Female;United-States;<=50K
5375;0-120;Federal-gov;Bachelors;Never-married;*;Black;Female;United-States;<=50K
9045;0-120;Federal-gov;Bachelors;Never-married;*;Black;Female;United-States;<=50K
12594;0-120;State-gov;Higher education;Divorced;*;Black;Female;United-States;<=50K
17658;0-120;State-gov;Higher education;Divorced;*;Black;Female;United-States;<=50K
29739;0-120;State-gov;Bachelors;Never-married;*;Black;Female;North America;<=50K
29862;0-120;State-gov;Bachelors;Never-married;*;Black;Female;North America;<=50K
5178;41-45;Local-gov;*;Divorced;*;Black;Female;United-States;<=50K
14651;41-45;Local-gov;*;Divorced;*;Black;Female;United-States;<=50K
945;0-120;Local-gov;Higher education;Divorced;*;Black;Female;United-States;<=50K
9248;0-120;Local-gov;Higher education;Divorced;*;Black;Female;United-States;<=50K
4749;61-70;Local-gov;Higher education;Divorced;*;Black;Female;United-States;<=50K
22247;61-70;Local-gov;Higher education;Divorced;*;Black;Female;United-States;<=50K
11837;0-120;Self-emp-not-inc;*;spouse not present;Other-service;Black;Female;United-States;<=50K
13791;0-120;Self-emp-not-inc;*;spouse not present;Other-service;Black;Female;United-States;<=50K
6225;0-120;Private;Some-college;Married-civ-spouse;*;Black;Female;United-States;>50K
13946;0-120;Private;Some-college;Married-civ-spouse;*;Black;Female;United-States;>50K
8746;41-50;Private;Some-college;Married-civ-spouse;*;Black;Female;United-States;>50K
18005;41-50;Private;Some-college;Married-civ-spouse;*;Black;Female;United-States;>50K
633;0-120;Private;Bachelors;Married-civ-spouse;*;Black;Female;United-States;>50K
4575;0-120;Private;Bachelors;Married-civ-spouse;*;Black;Female;United-States;>50K
13358;31-40;Private;Higher education;Married-spouse-absent;*;Black;Female;United-States;<=50K
19343;31-40;Private;Higher education;Married-spouse-absent;*;Black;Female;United-States;<=50K
18462;0-120;Private;*;Married-civ-spouse;Technical;Other;Male;North America;>50K
18536;0-120;Private;*;Married-civ-spouse;Technical;Other;Male;North America;>50K
3238;0-120;Private;Higher education;Married-civ-spouse;*;Other;Male;*;<=50K
9346;0-120;Private;Higher education;Married-civ-spouse;*;Other;Male;*;<=50K
404;0-120;Private;7th-8th;Married-civ-spouse;*;Other;Male;*;<=50K
2647;0-120;Private;7th-8th;Married-civ-spouse;*;Other;Male;*;<=50K
9543;0-120;Private;*;Divorced;*;Other;Male;North America;<=50K
14877;0-120;Private;*;Divorced;*;Other;Male;North America;<=50K
5510;0-120;Private;*;Never-married;*;Other;Male;North America;<=50K
12424;0-120;Private;*;Never-married;*;Other;Male;North America;<=50K
13097;0-120;Private;Undergraduate;Never-married;*;Other;Male;*;<=50K
17278;0-120;Private;Undergraduate;Never-married;*;Other;Male;*;<=50K
9266;0-120;Local-gov;*;Married-civ-spouse;*;Amer-Indian-Eskimo;Male;United-States;<=50K
11854;0-120;Local-gov;*;Married-civ-spouse;*;Amer-Indian-Eskimo;Male;United-States;<=50K
8834;0-120;Local-gov;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;<=50K
13271;0-120;Local-gov;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;<=50K
8866;0-120;Self-emp-not-inc;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;<=50K
16934;0-120;Self-emp-not-inc;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;<=50K
17849;0-120;Self-emp-not-inc;*;Never-married;*;Amer-Indian-Eskimo;Male;United-States;<=50K
20015;0-120;Self-emp-not-inc;*;Never-married;*;Amer-Indian-Eskimo;Male;United-States;<=50K
1425;0-120;Private;High School;Divorced;*;Amer-Indian-Eskimo;Male;*;<=50K
1464;0-120;Private;High School;Divorced;*;Amer-Indian-Eskimo;Male;*;<=50K
1092;0-120;Private;*;Married-spouse-absent;*;Asian-Pac-Islander;Male;Asia;<=50K
8535;0-120;Private;*;Married-spouse-absent;*;Asian-Pac-Islander;Male;Asia;<=50K
13468;0-120;Private;Professional Education;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
13476;0-120;Private;Professional Education;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
8427;0-120;Private;Assoc-voc;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
9911;0-120;Private;Assoc-voc;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
1803;0-120;Self-emp-inc;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
4055;0-120;Self-emp-inc;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
265;0-120;Self-emp-inc;Undergraduate;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
15466;0-120;Self-emp-inc;Undergraduate;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
873;0-120;Self-emp-not-inc;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
6751;0-120;Self-emp-not-inc;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
255;41-45;Self-emp-not-inc;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
1969;41-45;Self-emp-not-inc;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
7698;0-120;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;United-States;>50K
13483;0-120;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;United-States;>50K
1179;0-120;Local-gov;High School;spouse not present;*;Asian-Pac-Islander;Male;United-States;<=50K
4798;0-120;Local-gov;High School;spouse not present;*;Asian-Pac-Islander;Male;United-States;<=50K
1137;0-120;Federal-gov;*;Married-civ-spouse;*;Black;Male;United-States;>50K
20879;0-120;Federal-gov;*;Married-civ-spouse;*;Black;Male;United-States;>50K
7326;0-120;State-gov;*;Divorced;Other;Black;Male;North America;<=50K
16118;0-120;State-gov;*;Divorced;Other;Black;Male;North America;<=50K
1127;0-120;Federal-gov;*;spouse not present;*;Black;Male;United-States;<=50K
7162;0-120;Federal-gov;*;spouse not present;*;Black;Male;United-States;<=50K
4386;0-120;Federal-gov;*;Separated;*;Black;Male;United-States;<=50K
11792;0-120;Federal-gov;*;Separated;*;Black;Male;United-States;<=50K
2209;0-120;Local-gov;*;spouse not present;*;Black;Male;United-States;<=50K
3158;0-120;Local-gov;*;spouse not present;*;Black;Male;United-States;<=50K
522;0-120;Local-gov;Higher education;Divorced;*;Black;Male;North America;<=50K
7356;0-120;Local-gov;Higher education;Divorced;*;Black;Male;North America;<=50K
683;0-120;Local-gov;*;Separated;*;Black;Male;United-States;<=50K
5551;0-120;Local-gov;*;Separated;*;Black;Male;United-States;<=50K
418;31-40;Local-gov;*;Separated;*;Black;Male;United-States;<=50K
608;31-40;Local-gov;*;Separated;*;Black;Male;United-States;<=50K
34;0-120;State-gov;Higher education;Married-civ-spouse;*;Black;Male;United-States;<=50K
1509;0-120;State-gov;Higher education;Married-civ-spouse;*;Black;Male;United-States;<=50K
660;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;Black;Male;United-States;>50K
1754;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;Black;Male;United-States;>50K
3376;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;Black;Male;North America;<=50K
10605;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;Black;Male;North America;<=50K
6892;0-120;Self-emp-not-inc;*;Never-married;*;Black;Male;United-States;<=50K
9583;0-120;Self-emp-not-inc;*;Never-married;*;Black;Male;United-States;<=50K
1854;0-120;Self-emp-not-inc;HS-grad;Never-married;*;Black;Male;North America;<=50K
11239;0-120;Self-emp-not-inc;HS-grad;Never-married;*;Black;Male;North America;<=50K
1510;0-120;Private;*;Married-spouse-absent;Technical;Black;Male;North America;<=50K
5870;0-120;Private;*;Married-spouse-absent;Technical;Black;Male;North America;<=50K
2784;0-120;Private;Primary School;Never-married;*;Black;Male;North America;<=50K
21323;0-120;Private;Primary School;Never-married;*;Black;Male;North America;<=50K
1370;21-30;Private;Assoc-acdm;Never-married;*;Black;Male;North America;<=50K
4033;21-30;Private;Assoc-acdm;Never-married;*;Black;Male;North America;<=50K
13;31-40;Private;Assoc-acdm;Never-married;*;Black;Male;North America;<=50K
4505;31-40;Private;Assoc-acdm;Never-married;*;Black;Male;North America;<=50K
10905;0-120;Private;Primary School;Married-civ-spouse;*;Black;Male;*;<=50K
15251;0-120;Private;Primary School;Married-civ-spouse;*;Black;Male;*;<=50K
2824;31-40;Private;Bachelors;Married-civ-spouse;*;Black;Male;*;<=50K
2953;31-40;Private;Bachelors;Married-civ-spouse;*;Black;Male;*;<=50K
6648;0-120;State-gov;*;Never-married;*;White;Male;United-States;>50K
9688;0-120;State-gov;*;Never-married;*;White;Male;United-States;>50K
2567;21-30;State-gov;*;Never-married;*;White;Male;*;<=50K
6430;21-30;State-gov;*;Never-married;*;White;Male;*;<=50K
1473;0-120;State-gov;*;Married-civ-spouse;*;White;Male;*;<=50K
2635;0-120;State-gov;*;Married-civ-spouse;*;White;Male;*;<=50K
2029;31-40;State-gov;*;Married-civ-spouse;*;White;Male;North America;<=50K
4456;31-40;State-gov;*;Married-civ-spouse;*;White;Male;North America;<=50K
2726;0-120;Federal-gov;*;Never-married;*;White;Male;United-States;>50K
4479;0-120;Federal-gov;*;Never-married;*;White;Male;United-States;>50K
2529;41-50;Federal-gov;*;Never-married;*;White;Male;United-States;>50K
5200;41-50;Federal-gov;*;Never-married;*;White;Male;United-States;>50K
4763;0-120;Federal-gov;Higher education;Divorced;*;White;Male;United-States;>50K
4836;0-120;Federal-gov;Higher education;Divorced;*;White;Male;United-States;>50K
53;41-50;Federal-gov;Higher education;Divorced;*;White;Male;United-States;>50K
997;41-50;Federal-gov;Higher education;Divorced;*;White;Male;United-States;>50K
2659;0-120;Federal-gov;Professional Education;Married-civ-spouse;*;White;Male;*;<=50K
4711;0-120;Federal-gov;Professional Education;Married-civ-spouse;*;White;Male;*;<=50K
1777;0-120;Local-gov;*;Widowed;*;White;Male;United-States;<=50K
7856;0-120;Local-gov;*;Widowed;*;White;Male;United-States;<=50K
3244;0-120;Local-gov;Higher education;Separated;*;White;Male;United-States;<=50K
6259;0-120;Local-gov;Higher education;Separated;*;White;Male;United-States;<=50K
3160;41-50;Local-gov;*;Divorced;*;White;Male;*;<=50K
8766;41-50;Local-gov;*;Divorced;*;White;Male;*;<=50K
11226;0-120;Local-gov;Undergraduate;Never-married;*;White;Male;United-States;>50K
20629;0-120;Local-gov;Undergraduate;Never-married;*;White;Male;United-States;>50K
7110;31-40;Local-gov;Undergraduate;Never-married;*;White;Male;United-States;>50K
25281;31-40;Local-gov;Undergraduate;Never-married;*;White;Male;United-States;>50K
3264;0-120;Self-emp-inc;Higher education;Separated;*;White;Male;United-States;<=50K
12370;0-120;Self-emp-inc;Higher education;Separated;*;White;Male;United-States;<=50K
4019;0-120;Self-emp-inc;Higher education;Never-married;*;White;Male;United-States;<=50K
9009;0-120;Self-emp-inc;Higher education;Never-married;*;White;Male;United-States;<=50K
5465;0-120;Self-emp-inc;Professional Education;Divorced;Nontechnical;White;Male;United-States;<=50K
6013;0-120;Self-emp-inc;Professional Education;Divorced;Nontechnical;White;Male;United-States;<=50K
6345;0-120;Self-emp-inc;High School;Divorced;*;White;Male;United-States;<=50K
6704;0-120;Self-emp-inc;High School;Divorced;*;White;Male;United-States;<=50K
7732;0-120;Private;Higher education;Separated;*;White;Male;*;>50K
7995;0-120;Private;Higher education;Separated;*;White;Male;*;>50K
3390;41-50;Private;*;Widowed;*;White;Male;*;>50K
6547;41-50;Private;*;Widowed;*;White;Male;*;>50K
825;0-120;Private;High School;Widowed;*;White;Male;North America;>50K
16856;0-120;Private;High School;Widowed;*;White;Male;North America;>50K
592;0-120;Private;High School;Never-married;*;White;Male;North America;>50K
1395;0-120;Private;High School;Never-married;*;White;Male;North America;>50K
764;51-60;Private;Bachelors;Never-married;*;White;Male;*;>50K
5574;51-60;Private;Bachelors;Never-married;*;White;Male;*;>50K
1350;31-40;Private;Some-college;Never-married;*;White;Male;*;>50K
3513;31-40;Private;Some-college;Never-married;*;White;Male;*;>50K
2817;0-120;Private;Primary School;Married-civ-spouse;*;White;Male;North America;>50K
7438;0-120;Private;Primary School;Married-civ-spouse;*;White;Male;North America;>50K
3423;0-120;Private;Bachelors;Married-spouse-absent;*;White;Male;*;<=50K
5109;0-120;Private;Bachelors;Married-spouse-absent;*;White;Male;*;<=50K
348;0-120;Private;Professional Education;Married-spouse-absent;*;White;Male;*;<=50K
5105;0-120;Private;Professional Education;Married-spouse-absent;*;White;Male;*;<=50K
10953;0-120;Self-emp-not-inc;Bachelors;Divorced;*;White;Male;United-States;>50K
14328;0-120;Self-emp-not-inc;Bachelors;Divorced;*;White;Male;United-States;>50K
8581;0-120;Self-emp-not-inc;High School;Never-married;*;White;Male;United-States;>50K
12378;0-120;Self-emp-not-inc;High School;Never-married;*;White;Male;United-States;>50K
2752;51-60;Self-emp-not-inc;7th-8th;Married-civ-spouse;*;White;Male;*;>50K
9200;51-60;Self-emp-not-inc;7th-8th;Married-civ-spouse;*;White;Male;*;>50K
1978;0-120;Self-emp-not-inc;11th;Married-civ-spouse;*;White;Male;United-States;>50K
2332;0-120;Self-emp-not-inc;11th;Married-civ-spouse;*;White;Male;United-States;>50K
1480;0-120;Self-emp-not-inc;High School;Married-spouse-absent;*;White;Male;North America;<=50K
6898;0-120;Self-emp-not-inc;High School;Married-spouse-absent;*;White;Male;North America;<=50K
392;41-50;Self-emp-not-inc;Higher education;Separated;*;White;Male;United-States;<=50K
3607;41-50;Self-emp-not-inc;Higher education;Separated;*;White;Male;United-States;<=50K
7365;21-30;Self-emp-not-inc;11th;Never-married;*;White;Male;North America;<=50K
7967;21-30;Self-emp-not-inc;11th;Never-married;*;White;Male;North America;<=50K
8887;0-120;Self-emp-not-inc;1st-4th;Married-civ-spouse;*;White;Male;North America;<=50K
9000;0-120;Self-emp-not-inc;1st-4th;Married-civ-spouse;*;White;Male;North America;<=50K
272;41-50;Self-emp-not-inc;Masters;Married-civ-spouse;*;White;Male;*;<=50K
529;41-50;Self-emp-not-inc;Masters;Married-civ-spouse;*;White;Male;*;<=50K
901;51-60;Self-emp-not-inc;9th;Married-civ-spouse;*;White;Male;*;<=50K
2416;51-60;Self-emp-not-inc;9th;Married-civ-spouse;*;White;Male;*;<=50K
3505;0-120;Self-emp-not-inc;Doctorate;Married-civ-spouse;*;White;Male;North America;<=50K
4236;0-120;Self-emp-not-inc;Doctorate;Married-civ-spouse;*;White;Male;North America;<=50K
6019;0-120;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;*;White;Male;*;<=50K
7402;0-120;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;*;White;Male;*;<=50K
316;71-80;Self-emp-not-inc;Some-college;Married-civ-spouse;*;White;Male;United-States;<=50K
11506;71-80;Self-emp-not-inc;Some-college;Married-civ-spouse;*;White;Male;United-States;<=50K
18096;21-30;Local-gov;Undergraduate;Never-married;*;Asian-Pac-Islander;Female;*;<=50K
19526;21-30;Local-gov;Undergraduate;Never-married;*;Asian-Pac-Islander;Female;*;<=50K
12913;0-120;Private;*;Widowed;*;Asian-Pac-Islander;Female;*;<=50K
14685;0-120;Private;*;Widowed;*;Asian-Pac-Islander;Female;*;<=50K
8873;0-120;Private;*;Separated;*;Asian-Pac-Islander;Female;*;<=50K
9525;0-120;Private;*;Separated;*;Asian-Pac-Islander;Female;*;<=50K
731;0-120;Private;Undergraduate;Divorced;*;Asian-Pac-Islander;Female;*;<=50K
7636;0-120;Private;Undergraduate;Divorced;*;Asian-Pac-Islander;Female;*;<=50K
1624;0-120;Private;*;Never-married;*;Other;Female;North America;<=50K
18608;0-120;Private;*;Never-married;*;Other;Female;North America;<=50K
784;0-120;Private;Higher education;Never-married;*;Other;Female;United-States;*
8438;0-120;Private;Higher education;Never-married;*;Other;Female;United-States;*
12985;31-35;Private;HS-grad;Married-civ-spouse;*;Other;Female;*;<=50K
16140;31-35;Private;HS-grad;Married-civ-spouse;*;Other;Female;*;<=50K
5095;21-30;State-gov;*;Married-civ-spouse;*;White;Female;United-States;<=50K
7348;21-30;State-gov;*;Married-civ-spouse;*;White;Female;United-States;<=50K
3677;51-60;Local-gov;*;Divorced;*;White;Female;United-States;>50K
8972;51-60;Local-gov;*;Divorced;*;White;Female;United-States;>50K
7347;0-120;Local-gov;Higher education;Divorced;*;White;Female;United-States;>50K
9753;0-120;Local-gov;Higher education;Divorced;*;White;Female;United-States;>50K
5402;0-120;Local-gov;*;Married-spouse-absent;*;White;Female;North America;<=50K
7433;0-120;Local-gov;*;Married-spouse-absent;*;White;Female;North America;<=50K
169;0-120;Local-gov;Higher education;Widowed;*;White;Female;*;<=50K
14711;0-120;Local-gov;Higher education;Widowed;*;White;Female;*;<=50K
18596;0-120;Federal-gov;*;Married-spouse-absent;*;White;Female;United-States;<=50K
